Record URL,Generic Code,Student Code,Program Originator,Country/Activity Code,Type of Assistance Code,Program Year,Select Item Description Number,Total Delivery Cost
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71611&rlst=71590,71601,71602,71604,71607,71608,71610,71611,71613,71614","Supplies, Automotive Supplies: Automotive supplies and equipment parts",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,VEH [Vehicle] + SUPPORT EQUIP [Equipment] SPARES,9601
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71613&rlst=71590,71601,71602,71604,71607,71608,71610,71611,71613,71614","Support Equipment, Training Aids and Devices: Training aids",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,TRAINING AIDS AND PUBL [Publications],960
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71614&rlst=71590,71601,71602,71604,71607,71608,71610,71611,71613,71614","Support Equipment, Training Aids and Devices: Training aids",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,TRAINING AIDS AND PUBL [Publications],8200
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71615&rlst=71615,71616,71626,71627,71628,71632,71633,71634,71637,71587","Support Equipment, Training Aids and Devices: Training aids",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,TRAINING AIDS AND PUBL [Publications],1300
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71616&rlst=71615,71616,71626,71627,71628,71632,71633,71634,71637,71587","Support Equipment, Training Aids and Devices: Other training aids and devices, and spare parts",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,TRAINING AIDS AND PUBL [Publications],5970
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71626&rlst=71615,71616,71626,71627,71628,71632,71633,71634,71637,71587","Maintenance of Equipment, Contract Technicians and Contract Services: Other technical assistance",,MAAG [Military Assistance Advisory Group] (Navy),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,TECHNICAL ASSISTANCE,4963
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71627&rlst=71615,71616,71626,71627,71628,71632,71633,71634,71637,71587","Support Equipment, Other Equipment: Other support equipment",,MAAG [Military Assistance Advisory Group] (Navy),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,MISC [Equipment] OTHER SUPPORT EQP [Equipment],7470
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71628&rlst=71615,71616,71626,71627,71628,71632,71633,71634,71637,71587","Ships, Ships Support Equipment: Ship Overhaul/Modernization/Construction in Country",,MAAG [Military Assistance Advisory Group] (Navy),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,SHIP COST SHARING + OTHER,11174
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71632&rlst=71615,71616,71626,71627,71628,71632,71633,71634,71637,71587","Communications Equipment, Other Communications Equipment: Other communication equipment",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,OTHER COMMUNICATIONS EQP [Equipment],66970
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71633&rlst=71615,71616,71626,71627,71628,71632,71633,71634,71637,71587","Support Equipment, Other Equipment: Power and distribution equipment",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,MISC [Equipment] OTHER SUPPORT EQP [Equipment],8301
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71634&rlst=71615,71616,71626,71627,71628,71632,71633,71634,71637,71587","Supplies, Automotive Supplies: Automotive supplies and equipment parts",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,VEH [Vehicle] + SUPPORT EQUIP [Equipment] SPARES,5255
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71637&rlst=71615,71616,71626,71627,71628,71632,71633,71634,71637,71587","Support Equipment, Other Equipment: Other support equipment",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,MISC [Equipment] OTHER SUPPORT EQP [Equipment],1032
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71587&rlst=71615,71616,71626,71627,71628,71632,71633,71634,71637,71587",Undefined Code,,MAAG [Military Assistance Advisory Group] (Air Force),Bolivia,Grant Aid rendered under special Presidential Determination.,1971,TRAINING,6765
