Record URL,Generic Code,Student Code,Program Originator,Country/Activity Code,Type of Assistance Code,Program Year,Select Item Description Number,Total Delivery Cost
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=2&rid=71639&rlst=71635,71636,71638,71639,71650,71651,71652,71653,71654","Ammunition, Pyrotechnic and Chemical Munitions: Pyrotechnics",,MAAG [Military Assistance Advisory Group] (Air Force),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,OTHER AMMO [Ammunition] AND COMPONENTS,10876
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=2&rid=71650&rlst=71635,71636,71638,71639,71650,71651,71652,71653,71654","Ammunition, Bombs and Rockets: 2.75 inch rockets",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,ROCKETS,54270
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=2&rid=71651&rlst=71635,71636,71638,71639,71650,71651,71652,71653,71654","Ammunition, Bombs and Rockets: 2.75 inch rockets",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,ROCKETS,34152
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=2&rid=71652&rlst=71635,71636,71638,71639,71650,71651,71652,71653,71654","Ammunition, Ammunition up to 75 mm [Millimeter] and Grenades: 30 caliber",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,CARTRIDGE UP THRU 22MM [Millimeters],31500
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=2&rid=71653&rlst=71635,71636,71638,71639,71650,71651,71652,71653,71654","Ammunition, Ammunition up to 75 mm [Millimeter] and Grenades: 30 caliber",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,CARTRIDGE UP THRU 22MM [Millimeters],39814
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=2&rid=71654&rlst=71635,71636,71638,71639,71650,71651,71652,71653,71654","Ammunition, Ammunition up to 75 mm [Millimeter] and Grenades: 30 caliber",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,CARTRIDGE UP THRU 22MM [Millimeters],15120
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71586&rlst=71586,71591,71594,71595,71596,71597,71598,71599,71617,71618",Undefined Code,,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,SUPPLY OPERATIONS,112000
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71591&rlst=71586,71591,71594,71595,71596,71597,71598,71599,71617,71618",Undefined Code,,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,Grant Aid rendered under special Presidential Determination.,1971,TRAINING,60
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71594&rlst=71586,71591,71594,71595,71596,71597,71598,71599,71617,71618","Ammunition, Ammunition up to 75 mm [Millimeter] and Grenades: Grenades",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,GRENADES,0
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71595&rlst=71586,71591,71594,71595,71596,71597,71598,71599,71617,71618","Tactical and Support Vehicles, Trucks: 1/4 ton cargo",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,TRUCKS 1/4T [Ton] ALL TYPES,0
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71596&rlst=71586,71591,71594,71595,71596,71597,71598,71599,71617,71618","Tactical and Support Vehicles, Trucks: 1/4 ton cargo",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,TRUCKS 1/4T [Ton] ALL TYPES,0
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71597&rlst=71586,71591,71594,71595,71596,71597,71598,71599,71617,71618","Tactical and Support Vehicles, Trucks: 3/4 ton cargo",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,TRUCKS 3/4T [Ton]  ALL TYPES,0
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71598&rlst=71586,71591,71594,71595,71596,71597,71598,71599,71617,71618","Tactical and Support Vehicles, Trailers: Cargo",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,TRAILERS ALL TYPES,0
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71599&rlst=71586,71591,71594,71595,71596,71597,71598,71599,71617,71618","Tactical and Support Vehicles, Trailers: Cargo",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,TRAILERS ALL TYPES,0
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71617&rlst=71586,71591,71594,71595,71596,71597,71598,71599,71617,71618","Support Equipment, Other Equipment: Power and distribution equipment",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,MISC [Equipment] OTHER SUPPORT EQP [Equipment],0
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71618&rlst=71586,71591,71594,71595,71596,71597,71598,71599,71617,71618","Tactical and Support Vehicles, Trailers: Tank",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,TRAILERS ALL TYPES,0
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71619&rlst=71619,71620,71621,71622,71623,71624,71625,71629,71631,71640","Tactical and Support Vehicles, Trailers: Other Trailers",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,TRAILERS ALL TYPES,0
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71620&rlst=71619,71620,71621,71622,71623,71624,71625,71629,71631,71640","Tactical and Support Vehicles, Trucks: 5 ton dump",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,TRUCKS 5T [Ton] ALL TYPES,0
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71621&rlst=71619,71620,71621,71622,71623,71624,71625,71629,71631,71640","Tactical and Support Vehicles, Trailers: Tank",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,TRAILERS ALL TYPES,0
